player_id,player_name,team_id,team_name,shirtNo
4522,Santi Cazorla,61,Real Oviedo,8
6227,Dani Rodríguez,51,Mallorca,14
9270,Abdón Prats,51,Mallorca,9
11188,Pichu,51,Mallorca,13
16942,Óscar Trejo,64,Rayo Vallecano,8
24400,Cristhian Stuani,2783,Girona,7
25191,Axel Witsel,2783,Girona,20
25244,Alexis Sánchez,67,Sevilla,10
25931,César Azpilicueta,67,Sevilla,3
25964,Salomón Rondón,61,Real Oviedo,23
28186,Dani Parejo,839,Villarreal,10
29400,Robert Lewandowski,65,Barcelona,9
33451,Raúl Fernández,60,Deportivo Alaves,13
39187,Ørjan Nyland,67,Sevilla,13
39722,David Alaba,52,Real Madrid,4
50044,Nikola Maras,60,Deportivo Alaves,4
56057,Yuri Berchiche,53,Athletic Club,17
61610,Ricardo Rodríguez,54,Real Betis,12
70033,Daley Blind,2783,Girona,17
73265,Leandro Cabrera,70,Espanyol,6
73379,Wojciech Szczesny,65,Barcelona,25
73399,Adrián,54,Real Betis,13
73798,Thibaut Courtois,52,Real Madrid,1
75919,Kiko Femenía,819,Getafe,17
76662,Jan Oblak,63,Atletico,13
77417,Nemanja Gudelj,67,Sevilla,6
79840,Kike García,70,Espanyol,19
80241,Antoine Griezmann,63,Atletico,7
80758,Florian Lejeune,64,Rayo Vallecano,24
80764,Koke,63,Atletico,6
81523,Mathew Ryan,832,Levante,13
83686,Marc Bartra,54,Real Betis,5
84008,Marcos Alonso,62,Celta Vigo,20
86513,Cédric Bakambu,54,Real Betis,11
91194,Aitor Fernández,131,Osasuna,13
91242,Iago Aspas,62,Celta Vigo,10
92691,David López,2783,Girona,5
96566,Juan Cruz,131,Osasuna,3
97643,Juan Carlos,2783,Girona,1
97659,Gerard Moreno,839,Villarreal,7
98126,Ante Budimir,131,Osasuna,17
101084,Dimitri Foulquier,55,Valencia,20
101238,Moi Gómez,131,Osasuna,16
101613,Iván Balliu,64,Rayo Vallecano,20
104010,Antonio Rüdiger,52,Real Madrid,22
