team_id,team_name,slug,logo_path,primary,secondary
51,Mallorca,mallorca,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\mallorca.png,#D00000,#1A1A1A
52,Real Madrid,realmadrid,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\realmadrid.png,#FFFFFF,#1D1D1B
53,Athletic Club,athletic,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\athletic.png,#D00027,#1A1A1A
54,Real Betis,betis,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\betis.png,#009E49,#FFFFFF
55,Valencia,valencia,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\valencia.png,#FF7900,#000000
60,Deportivo Alaves,alaves,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\alaves.png,#003DA5,#FFFFFF
61,Real Oviedo,realoviedo,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\realoviedo.png,#0057B8,#FFD100
62,Celta Vigo,celta,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\celta.png,#8EC6E8,#E30613
63,Atletico,atlmadrid,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\atlmadrid.png,#D20A11,#1B3D8E
64,Rayo Vallecano,rayovallecano,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\rayovallecano.png,#E30613,#FFFFFF
65,Barcelona,barcelona,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\barcelona.png,#004D98,#A50044
67,Sevilla,sevilla,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\sevilla.png,#D00023,#FFFFFF
68,Real Sociedad,realsociedad,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\realsociedad.png,#005DA8,#FFFFFF
70,Espanyol,espanyol,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\espanyol.png,#00529F,#FFFFFF
131,Osasuna,osasuna,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\osasuna.png,#D0021B,#003A70
819,Getafe,getafe,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\getafe.png,#005CB9,#FFD200
832,Levante,levante,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\levante.png,#132257,#E41E20
833,Elche,elche,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\elche.png,#1B5E20,#FFFFFF
839,Villarreal,villarreal,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\villarreal.png,#FDE100,#1A1A1A
2783,Girona,girona,C:\Users\manue\OneDrive\Escritorio\Proyecto WhoScored\assets\Escudos\LaLiga\girona.png,#D50032,#FFFFFF
