jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,partidos_jugados,partidos_titular,minutos,partidos_completos_90,goles,asistencias,goles_asistencias,goles_sin_penalti,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,xg,npxg,xg_asistencias,npxg_xg_asistencias,conducciones_progresivas,pases_progresivos,pases_progresivos_recibidos,goles_por90,asistencias_por90,goles_asistencias_por90,goles_penalti_por90,goles_asistencias_penalti_por90,xg_por90,xg_asistencias_por90,xg_xg_asistencias_por90,npxg_por90,npxg_xg_asistencias_por90,season,tiros,tiros_a_puerta,porc_tiros_a_puerta,tiros_por90,tiros_a_puerta_por90,goles_por_tiro,goles_por_tiro_a_puerta,dist_media_tiro,tiros_libres,npxg_por_tiro,xg_neto,npxg_neto,pases_completados,pases,porc_precision_pase,dist_total_pases,dist_progresiva_pases,pases_cortos_completados,pases_cortos,porc_precision_pase_corto,pases_medios_completados,pases_medios,porc_precision_pase_medio,pases_largos_completados,pases_largos,porc_precision_pase_largo,xa_modelado,xg_asistencias_neto,tiros_asistidos,pases_tercio_final,pases_area,centros_area,pases_en_juego,pases_balon_parado,pases_tiro_libre,pases_al_hueco,cambios_de_juego,centros,saques_de_banda,saques_de_esquina,esquinas_hacia_adentro,esquinas_hacia_fuera,esquinas_rectas,pases_fuera_de_juego,pases_bloqueados,doble_amarilla,faltas_cometidas,faltas_recibidas,fueras_de_juego,intercepciones,entradas_ganadas,penaltis_ganados,penaltis_concedidos,autogoles,recuperaciones,duelos_aereos_ganados,duelos_aereos_perdidos,porc_duelos_aereos_ganados,entradas,entradas_tercio_defensivo,entradas_tercio_medio,entradas_tercio_ofensivo,regates_parados,regates_enfrentados,porc_regates_parados,regates_no_parados,bloqueos,tiros_bloqueados,entradas_mas_intercepciones,despejes,errores,toques,toques_area_propia,toques_tercio_defensivo,toques_tercio_medio,toques_tercio_ofensivo,toques_area_rival,toques_en_juego,regates_intentados,regates_exitosos,porc_regates_exitosos,regates_no_exitosos,porc_regates_no_exitosos,conducciones,distancia_conducciones,distancia_conducciones_progresivas,conducciones_tercio_final,conducciones_area,malos_controles,perdidas,pases_recibidos,stint_id
Igor Zubeldia,ESP,DF,Real Sociedad,La Liga,0.0,1997.0,8,8,720.0,8.0,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,4,26,0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,2025-2026,4,0,0.0,0.5,0.0,0.0,0.0,11.2,0,0.05,-0.2,-0.2,363,414,87.7,6591,2244,122,131,93.1,220,233,94.4,18,42,42.9,0.2,-0.3,3,23,0,0,400,14,13,0,8,0,0,0,0,0,0,0,2,0,15,3,0,9,5,0,0,0,24,18,23,43.9,13,11,2,0,8,10,80.0,2,7,5,22,53,1,513,50,228,276,12,9,513,2,0,0.0,2,100.0,293,1467,1009,0,0,2,1,336,1cde5644145e911ff4658b4c603f086a
Marcos Llorente,ESP,DF,Atlético Madrid,La Liga,0.0,1995.0,8,8,720.0,8.0,0,2,2,0,0,0,2,0,1.1,1.1,0.9,2.1,26,36,57,0.0,0.25,0.25,0.0,0.25,0.14,0.12,0.26,0.14,0.26,2025-2026,5,3,60.0,0.62,0.37,0.0,0.0,13.1,0,0.23,-1.1,-1.1,513,591,86.8,8103,2328,267,287,93.0,191,212,90.1,40,59,67.8,1.0,1.1,6,32,10,3,524,66,14,0,1,18,50,0,0,0,0,1,13,0,10,4,1,4,10,0,0,0,41,2,5,28.6,13,9,3,1,9,15,60.0,6,6,1,17,20,0,662,24,199,298,172,20,662,11,5,45.5,6,54.5,393,2032,980,18,8,9,2,451,2822926e4980424629489c5934893378
Luis Milla,ESP,MF,Getafe,La Liga,0.0,1994.0,8,8,719.0,8.0,0,5,5,0,0,0,2,0,0.1,0.1,1.7,1.8,8,29,9,0.0,0.63,0.63,0.0,0.63,0.01,0.21,0.23,0.01,0.23,2025-2026,3,0,0.0,0.38,0.0,0.0,0.0,28.4,1,0.04,-0.1,-0.1,283,373,75.9,5350,1649,124,143,86.7,101,125,80.8,51,84,60.7,1.2,3.3,19,30,6,2,295,75,39,1,8,34,0,24,6,11,1,3,4,0,5,10,0,5,7,0,0,0,48,8,7,53.3,10,4,4,2,6,12,50.0,6,13,1,15,11,1,425,12,67,261,103,1,425,8,4,50.0,4,50.0,155,755,374,4,1,3,4,220,398f94ac948e5ebf5ad6625d7056cdfb
Enzo Boyomo,CMR,DF,Osasuna,La Liga,0.0,2001.0,8,8,717.0,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,8,29,6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,297,374,79.4,5198,2080,114,124,91.9,156,178,87.6,22,57,38.6,0.7,-0.8,4,20,5,1,356,18,10,0,4,6,8,0,0,0,0,0,5,0,13,2,0,4,10,0,0,0,39,16,10,61.5,20,14,5,1,11,13,84.6,2,16,8,24,42,1,474,54,212,234,34,3,474,4,2,50.0,1,25.0,264,1146,621,5,0,8,5,283,fc623308068ecbd4e31f9790052dd560
Antonio Raillo,ESP,DF,Mallorca,La Liga,0.0,1991.0,8,8,720.0,8.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,26,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2025-2026,5,0,0.0,0.62,0.0,0.0,0.0,12.5,0,0.03,-0.2,-0.2,331,378,87.6,6604,2421,98,111,88.3,191,203,94.1,39,56,69.6,0.1,0.0,1,22,0,0,346,32,20,0,0,3,0,0,0,0,0,0,3,0,8,5,0,6,4,0,2,0,29,19,11,63.3,8,6,2,0,1,3,33.3,2,17,12,14,39,0,461,80,251,182,30,14,461,0,0,0.0,0,0.0,247,1296,745,6,0,3,0,267,3e705691c2813d0375c5e3c7cf06d847
Catena,ESP,DF,Osasuna,La Liga,0.0,1994.0,8,8,720.0,8.0,1,1,2,1,0,0,1,0,1.0,1.0,0.1,1.1,1,15,2,0.12,0.12,0.25,0.12,0.25,0.13,0.02,0.14,0.13,0.14,2025-2026,5,1,20.0,0.62,0.12,0.2,1.0,8.7,0,0.2,0.0,0.0,310,370,83.8,6143,2436,99,107,92.5,170,183,92.9,37,71,52.1,0.2,0.9,3,11,1,0,349,21,17,0,6,0,0,0,0,0,0,0,1,0,10,3,1,9,9,0,0,0,27,23,11,67.6,12,8,4,0,5,8,62.5,3,9,8,21,60,1,472,89,272,188,16,12,472,2,1,50.0,1,50.0,234,1020,547,1,1,2,1,269,6c48bf2fcd132dbe5ae4bcfffab12509
Natan,BRA,DF,Betis,La Liga,0.0,2001.0,8,8,720.0,8.0,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,2,17,0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,2025-2026,3,1,33.3,0.37,0.12,0.0,0.0,24.7,0,0.03,-0.1,-0.1,336,389,86.4,6216,1957,126,129,97.7,181,201,90.0,26,54,48.1,0.1,-0.2,4,17,0,0,370,18,13,1,4,1,1,0,0,0,0,1,1,0,7,2,0,4,3,0,0,0,28,29,17,63.0,5,3,2,0,1,6,16.7,5,4,2,9,68,1,481,62,289,182,13,4,481,0,0,0.0,0,0.0,264,1304,575,0,0,5,3,304,2f64ae2ca65137a9d4d2c38df2d644c4
Martin Valjent,SVK,DF,Mallorca,La Liga,0.0,1995.0,8,8,720.0,8.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,24,7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2025-2026,7,4,57.1,0.87,0.5,0.0,0.0,28.5,0,0.03,-0.2,-0.2,293,345,84.9,5526,1976,110,120,91.7,156,170,91.8,26,51,51.0,0.1,0.0,0,24,1,0,321,23,12,0,2,2,11,0,0,0,0,1,2,0,8,5,0,3,9,0,1,0,20,11,6,64.7,14,11,3,0,12,12,100.0,0,12,2,17,50,1,441,61,240,171,36,3,441,3,2,66.7,1,33.3,246,1558,792,9,0,1,1,270,773fc10f917f74275d7d635b4c8ef9aa
Aleix Febas,ESP,MF,Elche,La Liga,0.0,1996.0,8,8,720.0,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,35,57,26,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,2025-2026,7,2,28.6,0.87,0.25,0.0,0.0,20.2,0,0.07,-0.5,-0.5,471,516,91.3,6395,1783,293,310,94.5,141,152,92.8,15,19,78.9,0.7,-0.4,8,50,6,0,508,7,3,2,0,2,1,0,0,0,0,1,5,0,5,23,0,5,12,0,0,0,36,1,5,16.7,16,5,7,4,9,14,64.3,5,3,0,21,5,0,598,12,98,357,149,9,598,26,15,57.7,9,34.6,357,2280,1427,26,3,11,14,486,ef296d0f0fdffa00b1344974546c3121
César Tárrega,ESP,DF,Valencia,La Liga,0.0,2002.0,8,8,720.0,8.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,16,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,2025-2026,3,1,33.3,0.37,0.12,0.0,0.0,15.2,0,0.03,-0.1,-0.1,357,421,84.8,6916,2538,118,125,94.4,198,218,90.8,38,68,55.9,0.0,-0.1,2,12,1,0,394,25,17,0,1,0,1,0,0,0,0,2,5,0,9,2,0,8,8,0,0,0,26,12,15,44.4,13,8,3,2,5,8,62.5,3,12,9,21,44,0,516,92,320,181,18,3,516,4,3,75.0,0,0.0,284,1289,705,1,0,3,1,326,50337bb26874101ecd7ef16be6b24136
Andrei Ratiu,ROU,"DF,MF",Rayo Vallecano,La Liga,0.0,1998.0,8,8,720.0,8.0,0,1,1,0,0,0,2,0,0.5,0.5,0.8,1.3,25,30,51,0.0,0.12,0.12,0.0,0.12,0.07,0.1,0.17,0.07,0.17,2025-2026,5,3,60.0,0.62,0.37,0.0,0.0,27.8,0,0.11,-0.5,-0.5,343,417,82.3,5741,1828,176,195,90.3,132,156,84.6,29,47,61.7,0.7,0.2,6,23,9,5,364,52,6,2,4,21,46,0,0,0,0,1,11,0,6,4,4,9,7,0,0,0,36,3,12,20.0,14,5,7,2,7,12,58.3,5,5,1,23,18,0,509,26,126,216,175,13,509,29,9,31.0,19,65.5,260,1554,790,19,7,14,9,326,80154c47ef9748310dadd543446e8839
Mikel Jauregizar,ESP,MF,Athletic Club,La Liga,0.0,2003.0,8,8,710.0,7.9,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,8,55,12,0.13,0.0,0.13,0.13,0.13,0.06,0.06,0.12,0.06,0.12,2025-2026,11,3,27.3,1.39,0.38,0.09,0.33,23.3,0,0.04,0.5,0.5,332,414,80.2,5647,1599,146,167,87.4,144,170,84.7,31,56,55.4,0.7,-0.4,7,48,9,0,387,26,17,2,2,22,0,9,4,0,1,1,6,0,8,5,0,14,9,0,0,0,50,8,6,57.1,12,3,8,1,9,25,36.0,16,6,0,26,5,2,483,9,64,299,126,6,483,8,2,25.0,5,62.5,221,1078,541,12,1,7,6,301,a5c56492851b95738aff21e3b76200cf
