jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,pj,titular,minutos,partidos_completos_90,goles_en_contra_adv,goles_contra_por90,tiros_a_puerta_en_contra,paradas,porc_paradas,victorias,empates,derrotas,porterias_cero,porc_porterias_cero,penales_recibidos,penales_concedidos_adv,penales_parados,penales_fallados,porc_penales_parados,goles_falta_directa_en_contra,goles_corners_en_contra,autogoles_en_contra,psxg_en_contra,psnpxg_por_tiro_en_contra,psxg_neto,psxg_neto_por90,pases_largos_completados,pases_largos,porc_pases_largos_completados,pases_totales,saques_con_la_mano,porc_pases_lanzados,long_media_pase,saques_de_porteria,porc_saques_largos,long_media_saque,centros_defendidos,centros_atrapados,porc_centros_atrapados,acciones_fuera_del_area,acciones_fuera_del_area_por90,dist_media_acciones_fuera_area,season,stint_id
Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000,8,8,720,8.0,14,1.75,39,25,64.1025641025641,2,2,4,2,25.0,0,0,0,0,0.0,0,2,0,10.5,0.28,-3.5,-0.44,30,102,29.4,224,37,32.1,31.8,55,54.5,47.2,115,9,7.8,14,1.75,16.1,2025-2026,08865a5bfabedbaf72abfbac999877dd
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,0.0,1996,8,8,720,8.0,10,1.25,32,22,68.75,2,2,4,1,12.5,2,2,0,0,0.0,0,1,0,11.2,0.31,1.2,0.14,51,138,37.0,267,32,43.8,39.9,36,58.3,50.6,94,9,9.6,23,2.88,18.5,2025-2026,ac555bbb0b110420ebe836ed8b7a24e5
Marko Dmitrović,SRB,GK,Espanyol,La Liga,0.0,1992,8,8,720,8.0,11,1.37,37,26,70.27027027027027,3,3,2,2,25.0,1,1,0,0,0.0,1,1,0,10.6,0.27,-0.4,-0.05,39,125,31.2,211,36,47.4,38.8,44,56.8,48.5,117,6,5.1,7,0.88,13.5,2025-2026,7ae5c9a73269999d2b148497fcdfc431
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,0.0,1992,8,8,720,8.0,9,1.13,22,13,59.09090909090909,7,0,1,3,37.5,2,2,0,0,0.0,1,1,0,6.2,0.22,-2.8,-0.35,24,78,30.8,204,34,27.9,33.4,38,55.3,46.3,96,5,5.2,12,1.5,15.8,2025-2026,36a86f41fe889210a9aa9a45c9451934
Aarón Escandell,ESP,GK,Oviedo,La Liga,0.0,1995,8,8,720,8.0,14,1.75,54,39,72.22222222222221,2,0,6,1,12.5,1,0,1,0,100.0,0,5,0,15.6,0.3,1.6,0.2,49,120,40.8,233,27,41.2,35.3,46,52.2,40.7,117,3,2.6,18,2.25,17.4,2025-2026,5fb3124b929682488205d87f1bf18457
Sergio Herrera,ESP,GK,Osasuna,La Liga,0.0,1993,8,8,720,8.0,8,1.0,36,28,77.77777777777779,3,1,4,2,25.0,1,1,0,0,0.0,0,0,0,10.2,0.28,2.2,0.27,50,116,43.1,186,39,38.7,34.8,72,61.1,43.6,129,7,5.4,17,2.13,17.7,2025-2026,880d1d5a7066950753dfe24701e76746
Leo Román,ESP,GK,Mallorca,La Liga,0.0,2000,8,8,720,8.0,13,1.62,38,24,63.1578947368421,1,2,5,1,12.5,3,2,1,0,33.33333333333333,0,2,0,14.1,0.32,1.1,0.14,49,137,35.8,219,22,47.5,39.0,52,63.5,48.4,116,7,6.0,5,0.63,11.2,2025-2026,b07baa3211417da4bba3fc9cce6d0141
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,0.0,1993,8,8,720,8.0,10,1.25,22,12,54.54545454545454,3,4,1,1,12.5,1,1,0,0,0.0,0,0,0,7.1,0.3,-2.9,-0.36,42,96,43.8,199,27,30.2,32.3,57,63.2,45.5,100,5,5.0,6,0.75,11.6,2025-2026,f3c85df1c0456778475b595a50a1add7
Ionuț Radu,ROU,GK,Celta Vigo,La Liga,0.0,1997,8,8,720,8.0,10,1.25,33,23,69.6969696969697,0,6,2,0,0.0,1,0,1,0,100.0,0,1,1,9.2,0.26,0.2,0.03,19,55,34.5,168,45,23.8,29.2,55,27.3,31.5,84,3,3.6,7,0.88,13.6,2025-2026,716b8fb90a16a07388e927738ca31936
Unai Simón,ESP,GK,Athletic Club,La Liga,0.0,1997,8,8,720,8.0,9,1.13,26,18,69.23076923076923,4,1,3,1,12.5,0,0,0,0,0.0,0,1,1,8.6,0.33,0.6,0.07,24,99,24.2,208,36,34.6,33.4,36,75.0,57.4,81,6,7.4,18,2.25,19.8,2025-2026,f7cb22cc06111d27a01a6631cb6482cf
David Soria,ESP,GK,Getafe,La Liga,0.0,1993,8,8,720,8.0,11,1.37,28,18,64.28571428571429,3,2,3,2,25.0,0,0,0,0,0.0,0,3,1,8.0,0.29,-2.0,-0.25,62,187,33.2,163,9,81.0,50.6,61,90.2,60.0,95,4,4.2,7,0.88,15.0,2025-2026,30c5bb24d368383fdfd7a75f7bcfd0a4
Antonio Sivera,ESP,GK,Alavés,La Liga,0.0,1996,8,8,720,8.0,8,1.0,26,18,69.23076923076923,3,2,3,1,12.5,0,0,0,0,0.0,0,0,0,8.4,0.34,0.4,0.06,63,139,45.3,144,17,61.8,44.7,58,86.2,61.1,106,4,3.8,3,0.38,9.4,2025-2026,4fa4961a71b87a0125500869a9380a6c
Álex Remiro,ESP,GK,Real Sociedad,La Liga,0.0,1995,8,8,720,8.0,12,1.5,32,21,65.625,1,2,5,1,12.5,1,1,0,0,0.0,0,1,1,10.8,0.31,-0.2,-0.02,48,95,50.5,225,27,32.4,31.8,52,42.3,42.1,88,2,2.3,18,2.25,19.4,2025-2026,719fe060ee79ffe6c00b2a50b0d7b19f
Martin Dúbravka,SVK,GK,Burnley,Premier League,0.0,1989,7,7,630,7.0,15,2.14,40,28,70.0,1,1,5,1,14.285714285714285,2,2,0,0,0.0,0,1,3,13.7,0.3,1.7,0.25,39,158,24.7,167,33,48.5,37.0,85,90.6,63.4,144,7,4.9,1,0.14,8.3,2025-2026,4a4ab7b2775f25c79215abc88c8e7077
Lucas Chevalier,FRA,GK,Paris S-G,Ligue 1,0.0,2001,7,7,630,7.0,5,0.71,15,10,66.66666666666666,5,1,1,4,57.14285714285714,1,0,1,0,100.0,0,1,1,3.9,0.2,-0.1,-0.01,9,22,40.9,157,24,7.6,23.5,20,50.0,39.2,57,2,3.5,5,0.71,14.7,2025-2026,5dd3a98acc19ad08b7ada54b9de67837
Yehvann Diouf,SEN,GK,Nice,Ligue 1,0.0,1999,7,7,630,7.0,12,1.71,35,23,65.71428571428571,2,2,3,1,14.285714285714285,3,3,0,0,0.0,0,0,0,11.7,0.27,-0.3,-0.05,16,58,27.6,184,34,22.3,27.0,30,56.7,42.1,94,8,8.5,8,1.14,15.1,2025-2026,1694d50cce0b8b0d96cd389577c8ea5b
David Raya,ESP,GK,Arsenal,Premier League,0.0,1995,7,7,630,7.0,3,0.43,18,15,83.33333333333334,5,1,1,4,57.14285714285714,0,0,0,0,0.0,1,1,0,3.2,0.18,0.2,0.03,37,102,36.3,238,34,36.1,33.9,18,88.9,60.8,54,6,11.1,11,1.57,18.7,2025-2026,d8c1e8042864070bd2d06b0b1fa286b1
Guillaume Restes,FRA,GK,Toulouse,Ligue 1,0.0,2005,7,7,630,7.0,12,1.71,23,11,47.82608695652174,3,1,3,2,28.57142857142857,3,3,0,0,0.0,0,2,0,10.1,0.34,-1.9,-0.27,37,89,41.6,154,17,44.8,36.9,32,62.5,46.3,95,8,8.4,5,0.71,12.1,2025-2026,ba024cfab1e1a36435e07b890fee0f29
Jordan Pickford,ENG,GK,Everton,Premier League,0.0,1994,7,7,630,7.0,7,1.0,24,16,66.66666666666666,3,2,2,2,28.57142857142857,2,1,1,0,50.0,0,0,0,7.7,0.26,0.7,0.1,65,167,38.9,262,23,52.3,41.3,41,73.2,55.4,85,4,4.7,18,2.57,18.4,2025-2026,c4343fcb455377673d5cc5c716e45198
Brice Samba,FRA,GK,Rennes,Ligue 1,0.0,1994,7,7,630,7.0,10,1.43,29,18,62.06896551724138,2,4,1,2,28.57142857142857,2,1,1,0,50.0,0,1,0,11.9,0.36,1.9,0.27,29,94,30.9,289,33,28.0,32.0,40,32.5,34.0,113,7,6.2,5,0.71,15.6,2025-2026,d9265b63bd9441547e85b6ca88ea3f27
Bart Verbruggen,NED,GK,Brighton,Premier League,0.0,2002,7,7,630,7.0,10,1.43,22,14,63.63636363636363,2,3,2,0,0.0,1,1,0,0,0.0,0,1,2,8.8,0.36,0.8,0.11,18,86,20.9,252,33,29.0,31.9,19,68.4,50.8,85,3,3.5,7,1.0,15.2,2025-2026,18391a44b2129664a37c87463167bcdf
Robin Risser,FRA,GK,Lens,Ligue 1,0.0,2004,7,7,630,7.0,6,0.86,24,18,75.0,4,1,2,2,28.57142857142857,0,0,0,0,0.0,0,2,0,7.3,0.32,1.3,0.18,30,81,37.0,189,21,30.7,33.5,45,51.1,41.1,94,5,5.3,3,0.43,12.7,2025-2026,09ec69cdc8eed6ecfbb898dfe0a86888
Robin Roefs,NED,GK,Sunderland,Premier League,0.0,2003,7,7,630,7.0,6,0.86,29,22,75.86206896551724,3,2,2,3,42.857142857142854,1,0,1,0,100.0,0,1,0,8.3,0.28,2.3,0.33,34,119,28.6,235,23,36.6,35.4,37,89.2,64.8,115,11,9.6,11,1.57,13.2,2025-2026,d50953237bc8fe0417ee2b84c831642f
Nick Pope,ENG,GK,Newcastle Utd,Premier League,0.0,1992,7,7,630,7.0,5,0.71,24,19,79.16666666666666,2,3,2,5,71.42857142857143,0,0,0,0,0.0,0,2,0,6.1,0.26,1.1,0.16,15,79,19.0,161,50,33.5,34.1,39,64.1,48.6,83,17,20.5,23,3.29,17.7,2025-2026,880fee38d458d7edb1f9be655202c006
Đorđe Petrović,SRB,GK,Bournemouth,Premier League,0.0,1999,7,7,630,7.0,8,1.14,27,19,70.37037037037037,4,2,1,3,42.857142857142854,0,0,0,0,0.0,0,2,0,8.2,0.3,0.2,0.03,30,90,33.3,157,32,36.3,34.5,50,66.0,53.0,88,8,9.1,13,1.86,14.7,2025-2026,dd25e7b83d8bf5d70e6742df7914851f
Caoimhín Kelleher,IRL,GK,Brentford,Premier League,0.0,1998,7,7,630,7.0,12,1.71,29,17,58.620689655172406,2,1,4,1,14.285714285714285,2,1,1,0,50.0,0,1,1,9.2,0.29,-1.8,-0.26,46,119,38.7,222,37,40.1,34.1,36,83.3,59.5,91,6,6.6,5,0.71,10.7,2025-2026,990c672df37481c5ed637b90223b12da
Anthony Lopes,POR,GK,Nantes,Ligue 1,0.0,1990,7,7,630,7.0,7,1.0,36,29,80.55555555555556,1,3,3,2,28.57142857142857,2,2,0,0,0.0,0,1,0,7.7,0.17,0.7,0.09,35,84,41.7,279,33,27.6,30.8,27,25.9,31.4,126,6,4.8,9,1.29,12.2,2025-2026,4a7b497a87fadfe0b52c399051cb03e0
Bernd Leno,GER,GK,Fulham,Premier League,0.0,1992,7,7,630,7.0,11,1.57,29,19,65.51724137931035,2,2,3,1,14.285714285714285,3,2,0,1,0.0,0,1,1,9.0,0.28,-1.0,-0.14,21,79,26.6,240,36,24.6,29.5,35,57.1,45.1,83,6,7.2,6,0.86,13.1,2025-2026,c7225d3e058c6fb49b658a82f824a45f
Hervé Koffi,BFA,GK,Angers,Ligue 1,0.0,1996,7,7,630,7.0,11,1.57,43,31,72.09302325581395,1,2,4,1,14.285714285714285,3,1,1,1,33.33333333333333,0,3,0,15.7,0.34,4.7,0.67,28,78,35.9,174,39,37.9,35.1,39,30.8,33.3,113,13,11.5,3,0.43,8.6,2025-2026,7958e8c3688b4fd4b5fef9c7b4af7c58
Dean Henderson,ENG,GK,Crystal Palace,Premier League,0.0,1997,7,7,630,7.0,5,0.71,21,16,76.19047619047619,3,3,1,3,42.857142857142854,1,1,0,0,0.0,0,1,0,7.1,0.31,2.1,0.3,37,129,28.7,199,28,46.7,38.7,62,58.1,46.6,128,7,5.5,3,0.43,10.7,2025-2026,2963a16e75006ca9a02d56dbab9560d6
Jonathan Fischer,DEN,GK,Metz,Ligue 1,0.0,2001,7,7,630,7.0,16,2.29,41,26,63.41463414634146,0,2,5,1,14.285714285714285,2,2,0,0,0.0,0,0,1,16.3,0.37,1.3,0.18,21,51,41.2,266,29,16.2,26.0,22,36.4,33.7,96,3,3.1,10,1.43,14.0,2025-2026,60c6d8db43cadc834fab932f0a43bdfc
Mory Diaw,SEN,GK,Le Havre,Ligue 1,0.0,1993,7,7,630,7.0,10,1.43,22,13,59.09090909090909,1,3,3,1,14.285714285714285,2,2,0,0,0.0,0,2,1,8.1,0.29,-0.9,-0.12,32,85,37.6,234,37,26.5,29.6,47,48.9,39.1,109,13,11.9,10,1.43,13.5,2025-2026,6bfa49362b787f9fdcec904a09f767e5
Matz Sels,BEL,GK,Nott'ham Forest,Premier League,0.0,1992,7,7,630,7.0,12,1.71,37,25,67.56756756756756,1,2,4,0,0.0,3,3,0,0,0.0,0,1,0,13.6,0.31,1.6,0.23,20,71,28.2,150,26,41.3,35.4,42,21.4,26.5,105,4,3.8,5,0.71,13.5,2025-2026,e87ddf2f7d1a45e26c69559280d94126
Guglielmo Vicario,ITA,GK,Tottenham,Premier League,0.0,1996,7,7,630,7.0,5,0.71,29,24,82.75862068965517,4,2,1,3,42.857142857142854,0,0,0,0,0.0,0,1,0,7.2,0.27,2.2,0.31,24,74,32.4,265,35,22.6,28.7,44,31.8,31.6,78,3,3.8,13,1.86,16.7,2025-2026,1a35ad77b33041f36ef2f72204cd9035
